Gender,CustomerType,Age,TypeofTravel,Class,FlightDistancemiles,Inflightwifiservice,DepartureArrivaltimeconvenient,EaseofOnlinebooking,Gatelocation,Foodanddrink,Onlineboarding,Seatcomfort,Inflightentertainment,Onboardservice,Legroomservice,Baggagehandling,Checkinservice,Inflightservice,Cleanliness,DepartureDelayinMinutes,ArrivalDelayinMinutes,satisfaction
Female,Loyal Customer,29,Business travel,Eco,515,3,2,1,2,3,3,3,3,2,5,3,4,3,3,0,0,neutralordissatisfied
Female,Loyal Customer,63,Business travel,Eco,442,1,3,3,3,4,2,1,1,1,1,1,1,1,1,6,3,neutralordissatisfied
Male,Loyal Customer,7,Personal Travel,Eco,2688,3,3,3,3,3,4,4,3,2,4,4,4,3,4,0,23,neutralordissatisfied
Female,Loyal Customer,25,Business travel,Business,4243,4,5,3,5,3,4,4,3,2,3,4,4,4,4,4,0,neutralordissatisfied
Male,disloyal Customer,63,Personal Travel,Eco,125,2,4,0,2,2,0,2,2,5,5,2,5,1,2,0,0,neutralordissatisfied
Male,disloyal Customer,24,Business travel,Business,1167,5,0,5,3,3,5,3,3,5,1,3,5,5,3,56,42,satisfied
Female,Loyal Customer,22,Business travel,Business,2269,3,1,3,3,5,5,5,5,4,1,1,5,4,5,0,0,satisfied
Female,Loyal Customer,44,Business travel,Business,862,5,5,5,5,5,4,5,5,5,5,5,4,5,5,0,0,satisfied
Male,disloyal Customer,41,Business travel,Eco,628,2,4,2,3,5,2,5,5,2,3,3,2,4,5,0,11,neutralordissatisfied
Male,Loyal Customer,14,Personal Travel,Eco,700,0,4,0,4,4,0,4,4,3,4,4,4,5,4,0,0,satisfied
Female,Loyal Customer,26,Personal Travel,Eco,599,2,0,3,1,3,3,3,3,4,2,4,3,5,3,0,0,neutralordissatisfied
Female,disloyal Customer,21,Business travel,Eco,1428,3,3,3,3,5,3,5,5,3,1,4,2,4,5,111,99,neutralordissatisfied
Female,Loyal Customer,42,Business travel,Business,1935,3,3,3,3,4,4,4,4,4,5,4,5,4,5,6,0,satisfied
Female,Loyal Customer,58,Business travel,Business,1090,2,2,3,2,3,4,5,4,4,4,4,3,4,4,0,2,satisfied
Male,disloyal Customer,29,Business travel,Business,2611,3,3,3,3,3,3,3,5,2,3,5,3,5,3,11,1,neutralordissatisfied
Female,Loyal Customer,50,Business travel,Business,1955,4,4,4,4,2,5,4,4,4,4,4,5,4,4,0,0,satisfied
Male,Loyal Customer,46,Business travel,Business,2378,3,3,3,3,4,4,4,5,2,5,2,4,3,4,0,1,satisfied
Female,Loyal Customer,61,Personal Travel,Eco,1111,1,5,1,3,3,4,4,2,2,1,2,4,2,5,0,1,neutralordissatisfied
Female,disloyal Customer,24,Business travel,Eco,925,2,2,2,1,5,2,3,5,2,5,5,4,2,5,15,10,neutralordissatisfied
Female,disloyal Customer,42,Business travel,Eco,774,2,2,2,2,5,2,5,5,3,3,4,2,2,5,18,34,neutralordissatisfied
Male,Loyal Customer,56,Business travel,Business,1535,5,5,5,5,5,4,4,5,5,5,5,4,5,3,0,0,satisfied
Male,Loyal Customer,37,Business travel,Business,1416,1,1,1,1,5,4,5,4,4,5,4,5,4,3,0,0,satisfied
Male,Loyal Customer,50,Business travel,Eco,1176,3,5,5,5,3,3,3,3,4,2,1,4,2,3,1,2,neutralordissatisfied
Male,Loyal Customer,59,Business travel,Business,868,1,1,1,1,2,5,4,5,5,5,5,5,5,4,0,0,satisfied
Female,Loyal Customer,24,Business travel,Eco,393,4,4,4,4,4,4,2,4,2,3,3,2,3,4,0,0,neutralordissatisfied
Female,Loyal Customer,71,Business travel,Business,3180,5,5,3,5,4,4,5,5,5,5,5,1,5,3,0,0,satisfied
Male,Loyal Customer,22,Personal Travel,Eco,2762,3,0,3,3,5,3,5,5,5,3,4,1,2,5,27,0,neutralordissatisfied
Female,Loyal Customer,13,Personal Travel,Business,1097,3,1,3,2,3,3,3,3,2,3,3,4,3,3,18,11,neutralordissatisfied
Male,disloyal Customer,32,Business travel,Eco,417,4,2,4,4,4,5,5,1,5,3,3,5,3,5,168,152,neutralordissatisfied
Female,Loyal Customer,29,Business travel,Eco,1092,4,5,5,5,4,4,4,4,2,5,4,5,4,4,0,0,satisfied
Male,Loyal Customer,61,Personal Travel,Eco,850,3,4,3,4,4,3,4,4,2,1,4,2,4,4,0,0,neutralordissatisfied
Male,Loyal Customer,39,Business travel,Business,3352,5,5,5,5,2,5,4,4,4,4,4,3,4,4,111,107,satisfied
Male,Loyal Customer,44,Business travel,Business,3577,3,3,1,3,3,4,4,2,2,2,2,5,2,3,0,0,satisfied
Male,disloyal Customer,43,Business travel,Eco,397,4,3,4,3,2,4,2,2,3,5,3,4,4,2,0,6,neutralordissatisfied
Male,Loyal Customer,36,Business travel,Business,862,2,2,2,2,3,5,5,5,5,5,5,4,5,3,21,1,satisfied
Female,Loyal Customer,57,Business travel,Business,1978,1,1,1,1,4,4,5,5,5,5,5,5,5,5,0,0,satisfied
Male,disloyal Customer,22,Business travel,Eco,762,4,4,4,2,5,4,5,5,3,5,4,3,4,5,0,2,neutralordissatisfied
Female,Loyal Customer,30,Business travel,Business,416,1,2,2,2,1,1,1,1,3,1,3,4,3,1,52,51,neutralordissatisfied
Female,Loyal Customer,39,Business travel,Business,2684,2,2,4,2,2,4,5,4,4,4,4,3,4,4,0,0,satisfied
Female,Loyal Customer,14,Personal Travel,Eco,404,2,2,1,4,4,1,4,4,3,5,3,1,3,4,1,2,neutralordissatisfied
Female,Loyal Customer,55,Business travel,Eco,954,4,4,4,4,2,1,4,4,4,4,4,3,4,2,30,19,satisfied
Male,Loyal Customer,41,Business travel,Business,250,3,4,4,4,3,3,3,3,3,3,3,2,3,3,29,4,neutralordissatisfied
Male,Loyal Customer,49,Business travel,Business,236,0,1,1,2,5,4,4,5,5,3,3,3,5,4,0,0,satisfied
Male,disloyal Customer,24,Business travel,Eco,550,2,1,2,3,4,2,4,4,4,5,4,1,3,4,35,31,neutralordissatisfied
Female,Loyal Customer,22,Business travel,Business,3580,3,3,3,3,3,3,3,3,1,4,3,2,5,3,0,0,satisfied
Female,Loyal Customer,29,Business travel,Business,199,1,5,5,5,4,4,1,4,2,1,2,1,2,4,0,0,neutralordissatisfied
Female,Loyal Customer,45,Business travel,Business,2153,4,4,4,4,5,4,5,5,5,5,5,3,5,5,0,0,satisfied
Female,Loyal Customer,34,Business travel,Business,3301,1,1,1,1,3,5,2,4,4,4,4,2,4,4,0,0,satisfied
Female,Loyal Customer,32,Personal Travel,Eco,480,1,3,1,3,2,1,4,2,4,5,3,1,3,2,0,0,neutralordissatisfied
Male,Loyal Customer,59,Business travel,Business,332,2,2,2,2,5,4,5,5,5,5,5,5,5,3,0,0,satisfied
Female,Loyal Customer,39,Business travel,Business,740,2,2,2,2,4,2,3,4,4,4,4,5,4,4,0,0,satisfied
Male,Loyal Customer,44,Business travel,Eco Plus,163,4,3,4,3,5,4,5,5,1,3,1,3,3,5,0,0,satisfied
Male,Loyal Customer,37,Business travel,Business,3339,3,2,2,2,3,3,3,3,3,3,3,3,3,1,0,0,neutralordissatisfied
Male,Loyal Customer,37,Business travel,Eco Plus,1024,4,5,5,5,4,4,4,4,2,1,2,5,1,4,0,0,satisfied
Female,Loyal Customer,12,Personal Travel,Eco Plus,406,1,5,1,2,3,1,3,3,4,5,5,3,5,3,0,14,neutralordissatisfied
Male,disloyal Customer,18,Business travel,Eco,332,1,1,1,4,4,1,4,4,3,3,3,1,3,4,0,0,neutralordissatisfied
Female,Loyal Customer,55,Business travel,Business,3471,2,4,4,4,3,3,3,2,2,2,2,3,2,3,0,0,neutralordissatisfied
Female,Loyal Customer,31,Business travel,Business,1614,4,4,4,4,4,4,4,4,4,2,3,2,3,4,0,0,neutralordissatisfied
Male,Loyal Customer,29,Personal Travel,Eco,583,5,5,5,2,2,5,2,2,3,5,4,3,4,2,0,0,satisfied
Male,Loyal Customer,51,Business travel,Business,1517,1,4,3,4,1,3,4,1,1,1,1,3,1,1,0,0,neutralordissatisfied
Male,Loyal Customer,39,Business travel,Business,643,3,3,3,3,4,4,5,4,4,4,4,5,4,4,16,10,satisfied
Male,Loyal Customer,64,Business travel,Eco Plus,125,3,2,4,4,3,3,3,3,4,3,4,2,3,3,0,0,neutralordissatisfied
Male,Loyal Customer,26,Business travel,Eco Plus,937,2,4,4,4,2,4,2,1,3,4,3,2,3,2,147,151,neutralordissatisfied
Male,disloyal Customer,36,Business travel,Business,213,3,3,3,2,4,3,4,4,3,3,4,4,2,4,0,0,neutralordissatisfied
Male,Loyal Customer,64,Personal Travel,Eco,290,3,5,3,4,4,3,4,4,4,2,5,3,5,4,0,0,neutralordissatisfied
Male,Loyal Customer,21,Business travel,Business,3530,3,5,5,5,3,3,3,1,2,2,3,3,3,3,163,196,neutralordissatisfied
Male,Loyal Customer,30,Business travel,Business,529,3,3,3,3,5,5,5,5,4,2,5,4,5,5,108,84,satisfied
Male,Loyal Customer,50,Business travel,Business,2682,0,5,0,5,4,5,3,5,5,5,5,5,5,3,2,0,satisfied
Female,Loyal Customer,20,Business travel,Business,1020,3,5,5,5,3,3,3,3,3,3,4,2,3,3,65,56,neutralordissatisfied
Male,disloyal Customer,41,Business travel,Eco,453,3,0,3,3,2,3,2,2,3,1,4,2,3,2,6,2,neutralordissatisfied
Male,disloyal Customer,25,Business travel,Eco,308,2,3,2,3,2,2,2,2,2,1,4,1,3,2,19,23,neutralordissatisfied
Female,Loyal Customer,59,Business travel,Business,102,0,5,1,4,3,4,4,5,5,3,3,5,5,4,0,5,satisfied
Male,Loyal Customer,75,Business travel,Business,898,1,5,5,5,4,4,3,1,1,1,1,3,1,2,24,1,neutralordissatisfied
Male,disloyal Customer,50,Business travel,Business,473,3,3,3,3,1,3,1,1,3,4,4,5,4,1,5,0,neutralordissatisfied
Female,Loyal Customer,45,Business travel,Business,2501,1,1,1,1,5,3,3,4,4,4,4,1,4,3,5,0,satisfied
Male,Loyal Customer,59,Personal Travel,Eco,2176,3,1,3,3,2,3,2,2,2,2,4,2,4,2,0,0,neutralordissatisfied
Male,Loyal Customer,61,Business travel,Business,888,2,2,2,2,3,4,4,2,2,2,2,4,2,2,85,69,neutralordissatisfied
Male,Loyal Customer,27,Business travel,Business,502,2,3,4,3,2,1,2,2,1,3,3,1,2,2,76,57,neutralordissatisfied
Female,disloyal Customer,25,Business travel,Eco,589,1,1,1,2,3,1,3,3,4,1,2,3,3,3,90,90,neutralordissatisfied
Male,Loyal Customer,38,Business travel,Eco Plus,216,5,5,5,5,5,5,5,5,2,4,3,1,4,5,0,0,satisfied
Female,disloyal Customer,39,Business travel,Business,1120,2,2,2,3,1,2,1,1,4,4,5,5,5,1,0,0,neutralordissatisfied
Female,Loyal Customer,43,Business travel,Business,3004,5,5,5,5,4,4,5,5,5,5,5,5,5,4,3,1,satisfied
Male,Loyal Customer,56,Business travel,Business,1846,2,5,5,5,1,4,4,2,2,2,2,4,2,4,0,0,neutralordissatisfied
Male,Loyal Customer,24,Business travel,Eco,853,2,1,1,1,2,2,4,2,1,5,4,2,4,2,10,4,neutralordissatisfied
Male,Loyal Customer,20,Business travel,Eco Plus,731,2,3,5,3,2,2,1,2,3,4,3,3,4,2,86,65,neutralordissatisfied
Female,Loyal Customer,58,Business travel,Eco Plus,2704,4,2,2,2,3,3,1,3,3,4,3,3,3,3,0,0,satisfied
Male,Loyal Customer,14,Personal Travel,Eco,184,3,4,3,3,1,3,1,1,3,1,3,3,4,1,0,0,neutralordissatisfied
Female,disloyal Customer,26,Business travel,Eco,607,2,3,2,3,2,2,2,2,3,5,3,2,2,2,0,0,neutralordissatisfied
Male,Loyal Customer,22,Business travel,Eco Plus,705,4,3,3,3,4,4,4,4,3,3,2,2,1,4,4,0,satisfied
Male,Loyal Customer,57,Business travel,Business,1940,3,4,4,4,3,4,4,2,2,2,3,4,2,3,0,0,neutralordissatisfied
Female,Loyal Customer,53,Personal Travel,Eco,1074,1,4,2,5,4,4,5,1,1,2,1,4,1,5,0,0,neutralordissatisfied
Female,Loyal Customer,36,Business travel,Business,1623,2,4,4,4,2,3,3,2,2,2,2,3,2,1,0,0,neutralordissatisfied
Male,Loyal Customer,42,Business travel,Business,507,5,5,5,5,5,4,5,2,2,2,2,3,2,5,0,0,satisfied
Female,Loyal Customer,15,Personal Travel,Eco,867,1,3,1,1,3,1,3,3,2,3,4,2,2,3,0,0,neutralordissatisfied
Male,Loyal Customer,43,Business travel,Business,2239,5,5,5,5,3,4,5,3,3,4,3,3,3,5,0,0,satisfied
Male,Loyal Customer,36,Business travel,Business,2475,2,1,1,1,5,3,4,2,2,3,2,2,2,4,0,0,neutralordissatisfied
Female,Loyal Customer,16,Personal Travel,Eco,1744,2,3,2,3,4,2,4,4,2,5,1,5,3,4,0,13,neutralordissatisfied
Female,Loyal Customer,40,Business travel,Business,2315,1,1,4,1,2,5,4,5,5,5,5,3,5,3,14,25,satisfied
Female,Loyal Customer,44,Business travel,Business,199,3,4,4,4,4,4,4,2,2,2,3,1,2,1,25,17,neutralordissatisfied
Female,Loyal Customer,40,Business travel,Business,2500,1,2,2,2,4,4,3,1,1,1,1,3,1,3,0,0,neutralordissatisfied
Male,Loyal Customer,53,Personal Travel,Eco,594,3,3,3,3,3,3,1,3,1,5,3,1,5,3,0,0,neutralordissatisfied
Female,Loyal Customer,26,Business travel,Business,212,1,5,5,5,1,1,1,1,2,4,3,2,3,1,6,8,neutralordissatisfied
Female,disloyal Customer,37,Business travel,Business,1192,3,3,3,2,4,3,4,4,3,3,5,5,4,4,10,3,neutralordissatisfied
Male,Loyal Customer,47,Business travel,Business,3672,4,2,2,2,5,4,3,4,4,4,4,3,4,2,0,0,neutralordissatisfied
Female,Loyal Customer,31,Business travel,Business,2452,5,5,5,5,4,4,3,4,2,5,1,3,4,4,0,0,satisfied
Female,Loyal Customer,33,Personal Travel,Eco,526,1,4,1,4,3,1,3,3,3,3,4,3,5,3,0,0,neutralordissatisfied
Female,Loyal Customer,41,Business travel,Business,3651,3,3,3,3,5,4,5,4,4,4,4,3,4,3,6,1,satisfied
Female,Loyal Customer,24,Personal Travel,Eco,628,4,4,4,4,2,4,2,2,3,5,4,4,5,2,0,0,neutralordissatisfied
Male,Loyal Customer,60,Business travel,Business,1416,3,2,4,2,2,4,3,3,3,3,3,1,3,3,0,0,neutralordissatisfied
Female,Loyal Customer,42,Business travel,Business,3191,5,5,5,5,4,5,4,4,4,4,4,4,4,4,0,0,satisfied
Female,Loyal Customer,33,Business travel,Eco Plus,438,2,2,2,2,2,1,2,2,3,5,4,2,4,2,0,0,neutralordissatisfied
Female,Loyal Customer,35,Business travel,Eco,337,3,1,1,1,3,3,3,3,3,1,3,4,4,3,34,33,neutralordissatisfied
Female,Loyal Customer,44,Personal Travel,Eco,447,0,4,0,4,3,4,5,5,5,0,2,3,5,4,0,0,satisfied
Female,Loyal Customer,58,Business travel,Business,1235,1,1,1,1,3,4,4,4,4,5,4,3,4,3,0,0,satisfied
Male,Loyal Customer,16,Personal Travel,Eco Plus,299,4,4,4,4,5,4,5,5,4,3,5,5,4,5,0,0,satisfied
Female,Loyal Customer,41,Business travel,Business,2541,3,3,3,3,3,5,5,5,5,5,5,3,5,4,0,26,satisfied
Female,Loyal Customer,52,Business travel,Business,3536,3,1,1,1,4,4,4,3,3,3,3,4,3,2,0,13,neutralordissatisfied
Male,Loyal Customer,47,Business travel,Eco Plus,1587,2,2,2,2,2,2,2,2,3,2,2,4,4,2,0,0,neutralordissatisfied
Male,disloyal Customer,27,Business travel,Eco,666,3,5,3,2,2,3,2,2,1,3,3,3,5,2,13,100,neutralordissatisfied
Male,Loyal Customer,58,Business travel,Business,735,1,1,1,1,3,5,4,2,2,3,2,5,2,3,0,0,satisfied
Female,Loyal Customer,42,Business travel,Business,3685,1,1,1,1,1,2,2,4,4,4,4,1,4,5,0,0,satisfied
Female,disloyal Customer,40,Business travel,Business,628,3,3,3,2,3,3,3,3,3,1,3,2,3,3,31,54,neutralordissatisfied
Female,Loyal Customer,25,Business travel,Business,3405,2,5,5,5,2,2,2,2,4,5,3,2,2,2,1,0,neutralordissatisfied
Female,Loyal Customer,57,Personal Travel,Eco,1733,2,4,2,2,2,3,4,2,2,2,2,4,2,5,15,5,neutralordissatisfied
Female,disloyal Customer,38,Business travel,Business,457,4,4,4,4,2,4,2,2,3,2,5,4,5,2,9,8,satisfied
Female,disloyal Customer,26,Business travel,Eco,771,1,0,0,2,4,0,4,4,1,2,1,3,2,4,0,1,neutralordissatisfied
Male,Loyal Customer,51,Business travel,Business,759,4,4,4,4,3,5,4,4,4,4,4,4,4,5,0,0,satisfied
Male,Loyal Customer,60,Personal Travel,Eco,328,2,5,3,1,3,3,3,3,5,5,4,5,4,3,13,10,neutralordissatisfied
Male,Loyal Customer,65,Personal Travel,Eco Plus,849,2,4,2,1,1,2,1,1,4,2,5,3,5,1,1,0,neutralordissatisfied
Male,disloyal Customer,21,Business travel,Eco,588,2,0,2,4,2,2,2,2,2,3,4,5,1,2,2,0,neutralordissatisfied
Male,Loyal Customer,77,Business travel,Eco,2300,2,2,2,2,2,2,2,1,4,4,3,2,1,2,162,149,neutralordissatisfied
Male,Loyal Customer,59,Personal Travel,Eco,787,4,2,4,4,5,4,5,5,2,4,3,4,3,5,0,0,neutralordissatisfied
Male,Loyal Customer,42,Business travel,Business,417,3,3,3,3,3,3,3,3,3,3,3,4,3,4,0,0,neutralordissatisfied
Male,disloyal Customer,49,Business travel,Business,190,5,5,5,4,1,5,1,1,5,3,5,5,4,1,0,0,satisfied
Male,Loyal Customer,11,Business travel,Business,813,1,4,4,4,1,1,1,1,1,3,3,1,3,1,0,0,neutralordissatisfied
Male,Loyal Customer,57,Personal Travel,Eco Plus,403,3,5,3,3,5,3,2,5,3,5,4,4,4,5,0,0,neutralordissatisfied
Male,Loyal Customer,70,Personal Travel,Eco,1546,3,4,3,3,4,3,4,4,5,4,4,5,5,4,0,1,neutralordissatisfied
Male,disloyal Customer,18,Business travel,Eco,867,4,5,5,3,2,5,2,2,1,3,3,2,3,2,126,111,neutralordissatisfied
Female,Loyal Customer,57,Personal Travel,Eco,436,4,2,4,3,3,3,3,5,5,4,5,2,5,4,1,4,neutralordissatisfied
Female,Loyal Customer,29,Business travel,Business,1452,5,5,5,5,4,4,4,4,4,5,4,5,4,4,6,0,satisfied
Female,disloyal Customer,29,Business travel,Business,781,4,4,4,5,4,4,4,4,5,5,5,4,4,4,0,0,satisfied
Female,Loyal Customer,68,Personal Travel,Eco Plus,328,2,3,2,3,1,4,4,4,4,2,4,3,4,3,4,3,neutralordissatisfied
Male,Loyal Customer,44,Business travel,Business,2883,5,5,5,5,4,1,5,4,4,4,4,2,4,3,3,0,satisfied
Male,disloyal Customer,30,Business travel,Business,337,2,2,2,3,5,2,3,5,3,1,3,3,3,5,0,21,neutralordissatisfied
Male,Loyal Customer,32,Personal Travel,Eco,761,3,5,4,5,4,4,4,4,2,5,5,1,3,4,0,12,neutralordissatisfied
Male,Loyal Customer,41,Business travel,Business,979,3,3,3,3,4,5,4,5,5,4,5,3,5,4,3,0,satisfied
Female,Loyal Customer,49,Business travel,Business,2900,0,4,0,4,5,4,4,2,2,2,2,5,2,3,9,0,satisfied
Female,Loyal Customer,21,Business travel,Business,2497,2,2,2,2,5,5,4,5,4,4,4,3,4,5,0,0,satisfied
Female,Loyal Customer,59,Personal Travel,Eco,660,4,2,4,3,4,4,3,2,2,4,2,3,2,2,4,0,neutralordissatisfied
Male,disloyal Customer,19,Business travel,Eco,990,2,2,2,3,3,2,3,3,3,1,4,1,4,3,0,0,neutralordissatisfied
Female,Loyal Customer,27,Business travel,Business,2115,3,3,3,3,4,4,4,4,5,3,5,3,4,4,0,0,satisfied
Male,Loyal Customer,23,Personal Travel,Eco,448,3,4,3,4,5,3,5,5,4,4,5,3,5,5,0,19,neutralordissatisfied
Female,Loyal Customer,50,Business travel,Business,1727,1,1,1,1,2,4,5,5,5,5,5,3,5,3,0,0,satisfied
Female,Loyal Customer,29,Business travel,Business,2389,5,4,5,5,5,5,5,5,3,3,4,5,5,5,9,0,satisfied
Female,disloyal Customer,29,Business travel,Eco Plus,1050,1,1,1,3,4,1,4,4,5,1,5,2,4,4,0,0,neutralordissatisfied
Male,disloyal Customer,43,Business travel,Eco,427,4,2,4,4,5,4,5,5,3,5,4,2,4,5,1,3,neutralordissatisfied
Female,Loyal Customer,54,Business travel,Business,3389,1,1,1,1,2,5,4,5,5,5,5,4,5,5,0,0,satisfied
Male,Loyal Customer,32,Business travel,Business,1904,4,4,4,4,4,4,4,4,3,5,4,4,4,4,0,0,satisfied
Male,Loyal Customer,64,Personal Travel,Eco,937,2,3,2,2,1,2,1,1,1,5,3,2,5,1,0,0,neutralordissatisfied
Female,Loyal Customer,20,Personal Travel,Eco,213,2,4,2,1,4,2,4,4,3,2,2,2,4,4,0,0,neutralordissatisfied
Female,Loyal Customer,52,Business travel,Business,3177,4,4,4,4,4,4,4,3,1,3,1,4,2,4,77,65,satisfied
Female,Loyal Customer,47,Business travel,Eco Plus,281,2,3,3,3,2,4,4,2,2,2,2,3,2,3,25,36,neutralordissatisfied
Female,Loyal Customer,17,Personal Travel,Eco,965,3,5,4,4,3,4,5,3,4,4,5,5,4,3,0,0,neutralordissatisfied
Female,Loyal Customer,67,Personal Travel,Business,304,1,5,1,1,3,5,4,4,4,1,4,5,4,3,0,0,neutralordissatisfied
Female,Loyal Customer,25,Business travel,Business,728,4,1,4,1,4,4,4,4,4,3,3,3,4,4,6,3,neutralordissatisfied
Male,Loyal Customer,59,Business travel,Business,2988,4,4,4,4,3,4,5,4,4,4,4,5,4,4,0,0,satisfied
Male,Loyal Customer,54,Personal Travel,Eco,589,1,4,1,2,1,1,1,1,4,2,4,5,5,1,8,0,neutralordissatisfied
Female,Loyal Customer,51,Business travel,Business,647,4,4,4,4,2,5,4,3,3,4,3,3,3,5,0,0,satisfied
Male,Loyal Customer,24,Personal Travel,Eco Plus,214,2,0,0,2,3,0,3,3,3,3,4,5,5,3,0,1,neutralordissatisfied
Female,disloyal Customer,20,Business travel,Eco,143,2,1,2,3,5,2,5,5,2,4,3,4,3,5,0,0,neutralordissatisfied
Male,Loyal Customer,51,Business travel,Business,363,1,1,1,1,5,1,3,2,2,2,2,2,2,1,0,0,satisfied
Male,Loyal Customer,33,Business travel,Eco,507,4,1,1,1,4,4,4,4,4,5,2,2,3,4,0,0,neutralordissatisfied
Female,Loyal Customer,42,Business travel,Business,399,2,2,2,2,3,4,5,5,5,5,5,4,5,5,0,7,satisfied
Female,Loyal Customer,57,Business travel,Business,541,5,5,5,5,4,4,4,4,4,4,4,5,4,3,0,0,satisfied
Male,Loyal Customer,46,Business travel,Business,386,5,5,5,5,4,4,4,5,5,5,5,3,5,4,13,7,satisfied
Female,Loyal Customer,38,Business travel,Eco,842,2,2,2,2,2,2,2,2,2,3,4,4,4,2,0,10,neutralordissatisfied
Male,disloyal Customer,36,Business travel,Business,216,1,1,1,3,4,1,1,4,3,1,3,4,4,4,5,13,neutralordissatisfied
Male,Loyal Customer,54,Business travel,Business,1855,4,4,4,4,2,4,4,4,4,4,4,4,4,4,1,0,satisfied
Female,Loyal Customer,57,Personal Travel,Eco,888,2,3,2,4,4,5,4,3,3,2,2,5,3,5,107,104,neutralordissatisfied
Male,Loyal Customer,22,Personal Travel,Eco,985,4,1,4,1,4,4,4,4,4,2,2,1,2,4,5,2,satisfied
Female,Loyal Customer,35,Personal Travel,Eco,1521,1,3,1,3,3,1,3,3,1,4,3,1,2,3,0,0,neutralordissatisfied
Male,Loyal Customer,40,Business travel,Business,2917,0,0,0,1,5,5,4,3,3,3,3,4,3,3,0,0,satisfied
Female,disloyal Customer,33,Business travel,Eco Plus,77,3,3,3,5,5,3,5,5,2,4,3,2,2,5,0,0,neutralordissatisfied
Male,Loyal Customer,51,Personal Travel,Business,1635,5,5,5,2,2,4,4,5,5,5,4,5,5,3,9,7,satisfied
Female,Loyal Customer,39,Business travel,Eco,541,4,4,4,4,4,4,4,4,5,2,3,5,4,4,0,19,satisfied
Male,Loyal Customer,34,Business travel,Business,837,5,5,5,5,5,5,4,4,4,5,4,5,4,5,84,77,satisfied
Female,disloyal Customer,27,Business travel,Business,341,4,4,4,2,2,4,2,2,3,3,4,3,4,2,0,0,neutralordissatisfied
Female,disloyal Customer,43,Business travel,Eco,376,2,2,2,2,2,2,2,2,1,2,3,3,3,2,2,0,neutralordissatisfied
Female,disloyal Customer,25,Business travel,Business,399,4,0,4,2,5,4,5,5,3,2,4,5,5,5,0,0,satisfied
Male,Loyal Customer,22,Business travel,Business,1046,2,2,2,2,5,5,5,5,5,4,5,3,4,5,4,0,satisfied
Male,Loyal Customer,31,Business travel,Business,2645,5,5,4,5,3,3,3,3,4,3,5,3,5,3,0,0,satisfied
Female,disloyal Customer,22,Business travel,Eco,745,3,3,3,2,4,3,4,4,4,4,3,2,2,4,118,113,neutralordissatisfied
Male,Loyal Customer,53,Business travel,Business,214,0,5,0,2,5,4,5,5,5,5,5,3,5,3,0,0,satisfied
Male,disloyal Customer,66,Business travel,Eco,562,1,0,1,4,4,1,4,4,3,3,3,3,3,4,0,0,neutralordissatisfied
Male,disloyal Customer,40,Business travel,Business,733,1,1,1,4,2,1,2,2,1,1,3,4,4,2,0,0,neutralordissatisfied
Female,Loyal Customer,58,Personal Travel,Eco,628,3,4,3,1,2,4,5,4,4,3,4,5,4,4,3,0,neutralordissatisfied
Female,Loyal Customer,25,Personal Travel,Eco,1199,4,3,4,3,2,4,4,2,1,1,3,3,3,2,7,2,neutralordissatisfied
Female,disloyal Customer,26,Business travel,Business,834,4,4,4,1,2,4,2,2,3,3,5,3,5,2,0,0,neutralordissatisfied
Female,Loyal Customer,54,Business travel,Eco,895,4,1,1,1,4,3,4,4,4,4,4,4,4,1,0,13,neutralordissatisfied
Female,Loyal Customer,31,Personal Travel,Eco,1201,3,2,3,1,2,3,1,2,2,4,2,2,2,2,99,92,neutralordissatisfied
Female,disloyal Customer,23,Business travel,Business,507,0,4,0,2,4,0,4,4,5,3,5,5,5,4,0,0,satisfied
Female,Loyal Customer,58,Business travel,Business,1834,1,1,1,1,3,4,4,4,4,4,4,4,4,3,0,0,satisfied
Female,Loyal Customer,72,Business travel,Business,2454,1,4,4,4,1,2,2,1,1,1,1,3,1,1,0,0,neutralordissatisfied
Female,Loyal Customer,49,Business travel,Business,2486,4,4,4,4,4,5,4,4,4,4,4,4,4,3,46,14,satisfied
Male,disloyal Customer,27,Business travel,Eco,370,2,5,2,4,1,2,1,1,1,3,5,5,5,1,0,0,neutralordissatisfied
Female,Loyal Customer,11,Personal Travel,Eco,641,2,4,1,1,3,1,3,3,4,2,4,5,5,3,0,2,neutralordissatisfied
Female,Loyal Customer,67,Personal Travel,Eco,391,1,4,1,4,5,5,5,1,1,1,4,3,1,5,0,0,neutralordissatisfied
Male,Loyal Customer,50,Business travel,Business,1877,2,4,4,4,5,4,4,2,2,2,2,1,2,4,0,0,neutralordissatisfied
Female,Loyal Customer,49,Personal Travel,Eco Plus,1172,2,5,2,3,4,5,5,5,5,2,3,5,5,4,0,0,neutralordissatisfied
Male,disloyal Customer,29,Business travel,Eco,1404,4,4,4,4,3,4,3,3,4,2,3,3,4,3,0,0,neutralordissatisfied
Female,disloyal Customer,24,Business travel,Eco,473,0,0,0,4,2,0,2,2,3,5,4,3,5,2,0,0,satisfied
Female,Loyal Customer,28,Personal Travel,Eco,2447,3,5,3,2,2,3,2,2,3,5,4,1,1,2,0,0,neutralordissatisfied
Male,Loyal Customer,47,Personal Travel,Eco,137,1,2,1,3,2,1,2,2,4,5,3,2,4,2,40,33,neutralordissatisfied
